framerate = 10f
Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6503342584, 1, -24, -1003, -3, 0, 0, 205, 229, 193
6503342584, 1, -24, -1003, -3, 0, 0, 205, 229, 193
6503442491, 0, -22, -1001, -4, 2, -4, 205, 230, 193
6503442491, 0, -22, -1001, -4, 2, -4, 205, 230, 193
6503542469, 3, -20, -1003, -3, 1, -1, 205, 230, 193
6503542469, 3, -20, -1003, -3, 1, -1, 205, 230, 193
6503642534, 1, -31, -995, -2, 2, 0, 205, 230, 192
6503642534, 1, -31, -995, -2, 2, 0, 205, 230, 192
6503742443, 0, -26, -997, -3, 0, 1, 205, 231, 192
6503742443, 0, -26, -997, -3, 0, 1, 205, 231, 192
6503842550, 0, -23, -998, -2, 1, 3, 206, 219, 180
6503842550, 0, -23, -998, -2, 1, 3, 206, 219, 180
6503942630, 0, -27, -1002, -3, 5, 3, 206, 217, 178
6503942630, 0, -27, -1002, -3, 5, 3, 206, 217, 178
6504042481, -3, -31, -998, -3, 0, 4, 206, 226, 187
6504042481, -3, -31, -998, -3, 0, 4, 206, 226, 187
6504142453, 10, -25, -998, -3, 0, 10, 206, 234, 196
6504142453, 10, -25, -998, -3, 0, 10, 206, 234, 196
6504242435, 0, -22, -999, -3, 3, 12, 205, 235, 196
6504242435, 0, -22, -999, -3, 3, 12, 205, 235, 196
6504342380, 2, -23, -1003, -3, 5, 10, 206, 234, 196
6504342380, 2, -23, -1003, -3, 5, 10, 206, 234, 196
6504442387, -2, -28, -1000, -2, 2, 4, 206, 235, 196
6504442387, -2, -28, -1000, -2, 2, 4, 206, 235, 196
6504542524, 4, -37, -997, -3, 0, 5, 206, 235, 196
6504542524, 4, -37, -997, -3, 0, 5, 206, 235, 196
6504642434, -4, -22, -997, -3, -3, 3, 206, 234, 195
6504642434, -4, -22, -997, -3, -3, 3, 206, 234, 195
6504742447, -4, -18, -1004, -3, 1, 2, 206, 236, 197
6504742447, -4, -18, -1004, -3, 1, 2, 206, 236, 197
